"Enable the test mode to handle payments via the sandbox","Aktivieren Sie den Test-Modus um Zahlungen über die Sandbox abzuwickeln"
"Test mode","Test-Modus"
"Enabled","Aktiviert"
"API key","API-Schlüssel"
"Debug","Erweitertes Logging"
"Yes","Ja"
"No","Nein"
"Your Barzahlen/viacash division ID (<a href='https://controlcenter.viacash.com/' target='_blank'>https://controlcenter.viacash.com/</a>)","Deine Barzahlen Division ID (<a href='https://controlcenter.viacash.com/' target='_blank'>https://controlcenter.viacash.com/</a>)"
"Your Barzahlen/viacash API key (<a href='https://controlcenter.viacash.com/' target='_blank'>https://controlcenter.viacash.com/</a>)","Dein Barzahlen API-Schlüssel (<a href='https://controlcenter.viacash.com/' target='_blank'>https://controlcenter.viacash.com/</a>)"
"Show Barzahlen/viacash payment slip","Barzahlen/viacash-Zahlschein anzeigen"
"Maximum order sum","Maximale Auftragssumme"
"Which value of goods can be reached at the most so that Barzahlen/viacash is offered as payment method? (Max. 999.99 EUR)","Welcher Warenwert darf höchstens erreicht werden, damit Barzahlen/viacash als Zahlungsweise angeboten wird? (Max. 999.99 EUR)"
"Please enter only a maximum amount of 999.99 EUR","Bitte nur einen Betrag von maximal 999.99 EUR eintragen"
"Barzahlen/viacash: Payment slip successfully requested and sent.","Barzahlen/viacash: Zahlschein erfolgreich angefordert und versendet."
"Barzahlen/viacash: The payment slip was paid to the retail partner.","Barzahlen/viacash: Der Zahlschein wurde beim Retail-Partner bezahlt."
"Barzahlen/viacash: The payment period of the payment slip has expired.","Barzahlen/viacash: Der Zahlungszeitraum des Zahlscheins ist abgelaufen."
